subject,my_mac,data_type,data_value,local_time
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683038518
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683038480
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683038581
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683038641
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683038702
MATT,6C:B2:FD:CE:2D:F0,deg_c,24.25,1683038818
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683038818
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683038762
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683038822
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683038891
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683038952
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683039033
MATT,6C:B2:FD:CE:2D:F0,deg_c,24.00,1683039118
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683039118
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683039125
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683039188
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683039252
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683039312
MATT,6C:B2:FD:CE:2D:F0,deg_c,24.50,1683039418
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683039418
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683039374
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683039522
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683039613
MATT,6C:B2:FD:CE:2D:F0,deg_c,26.75,1683039718
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683039718
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683039687
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683039955
MATT,6C:B2:FD:CE:2D:F0,deg_c,27.75,1683040018
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683040018
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683040015
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683040107
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683040200
MATT,6C:B2:FD:CE:2D:F0,deg_c,24.25,1683040318
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683040318
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683040261
MATT,6C:B2:FD:CE:2D:F0,conn,0.00,1683040318
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683040394
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683040454
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683040515
MATT,6C:B2:FD:CE:2D:F0,deg_c,19.75,1683040618
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683040618
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683040575
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683040639
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683040730
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683040791
MATT,6C:B2:FD:CE:2D:F0,deg_c,24.00,1683040918
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683040918
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683040864
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683040929
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683040989
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683041049
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683041109
MATT,6C:B2:FD:CE:2D:F0,deg_c,17.25,1683041218
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683041218
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683041170
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683041230
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683041290
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683041350
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683041420
MATT,6C:B2:FD:CE:2D:F0,deg_c,20.00,1683041518
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683041518
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683041484
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683041544
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683041604
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683041664
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683041728
MATT,6C:B2:FD:CE:2D:F0,deg_c,22.25,1683041818
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683041818
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683041789
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683041922
MATT,6C:B2:FD:CE:2D:F0,deg_c,24.00,1683042118
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683042118
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683042293
MATT,6C:B2:FD:CE:2D:F0,deg_c,25.50,1683042418
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683042418
MATT,6C:B2:FD:CE:2D:F0,deg_c,26.00,1683042718
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683042718
MATT,6C:B2:FD:CE:2D:F0,deg_c,26.00,1683043018
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683043018
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683042966
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683043038
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683043099
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683043159
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683043219
MATT,6C:B2:FD:CE:2D:F0,deg_c,24.00,1683043318
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.84,1683043318
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683043279
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683043351
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683043442
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683043550
MATT,6C:B2:FD:CE:2D:F0,deg_c,24.00,1683043618
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683043618
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683043610
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683043675
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683043735
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683043796
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683043856
MATT,6C:B2:FD:CE:2D:F0,deg_c,24.00,1683043918
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683043918
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683043918
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683043979
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683044039
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683044100
MATT,6C:B2:FD:CE:2D:F0,deg_c,23.00,1683044218
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683044218
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683044160
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683044223
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683044284
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683044351
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683044412
MATT,6C:B2:FD:CE:2D:F0,deg_c,21.50,1683044518
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.84,1683044518
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683044473
